,predicciones,valor real,diferencia
1798,87001.1655011655,87000.0,1.0
1169,57995.38153846154,58000.0,5.0
2879,57995.38153846154,58000.0,5.0
19717,57995.38153846154,58000.0,5.0
2058,57995.38153846154,58000.0,5.0
19852,57995.38153846154,58000.0,5.0
10194,182104.96277915634,182100.0,5.0
2866,75707.67441860466,75700.0,8.0
4784,223185.19855595668,223200.0,15.0
600,223185.19855595668,223200.0,15.0
6079,263916.58031088085,263900.0,17.0
17713,263916.58031088085,263900.0,17.0
3151,120771.2927756654,120800.0,29.0
5978,214670.07299270073,214700.0,30.0
2421,87268.87871853547,87300.0,31.0
14423,269966.89419795224,270000.0,33.0
3469,192234.38045375218,192200.0,34.0
14642,192234.38045375218,192200.0,34.0
14863,123836.43263757115,123800.0,36.0
11822,150663.57142857142,150700.0,36.0
7164,123836.43263757115,123800.0,36.0
15063,123836.43263757115,123800.0,36.0
10547,337161.7924528302,337100.0,62.0
9710,192234.38045375218,192300.0,66.0
16212,87268.87871853547,87200.0,69.0
8212,118368.52589641434,118300.0,69.0
20624,87268.87871853547,87200.0,69.0
13995,87268.87871853547,87200.0,69.0
7602,120771.2927756654,120700.0,71.0
13410,120771.2927756654,120700.0,71.0
16440,120771.2927756654,120700.0,71.0
12883,120771.2927756654,120700.0,71.0
16790,322988.0281690141,322900.0,88.0
9721,322988.0281690141,322900.0,88.0
3799,322988.0281690141,322900.0,88.0
9453,57995.38153846154,57900.0,95.0
20601,57995.38153846154,57900.0,95.0
2462,57995.38153846154,57900.0,95.0
2630,57995.38153846154,58100.0,105.0
2894,57995.38153846154,58100.0,105.0
2375,57995.38153846154,58100.0,105.0
2472,75707.67441860466,75600.0,108.0
16061,322988.0281690141,323100.0,112.0
8102,157223.86634844868,157100.0,124.0
5043,118368.52589641434,118500.0,131.0
16229,87268.87871853547,87400.0,131.0
6292,192234.38045375218,192100.0,134.0
13050,123836.43263757115,123700.0,136.0
1296,150663.57142857142,150800.0,136.0
927,337161.7924528302,337300.0,138.0
11706,123836.43263757115,124000.0,164.0
6185,150663.57142857142,150500.0,164.0
1257,192234.38045375218,192400.0,166.0
18025,234032.74336283185,234200.0,167.0
2846,87268.87871853547,87100.0,169.0
873,214670.07299270073,214500.0,170.0
20552,120771.2927756654,120600.0,171.0
17406,120771.2927756654,120600.0,171.0
14993,120771.2927756654,120600.0,171.0
10059,157223.86634844868,157400.0,176.0
12187,157223.86634844868,157400.0,176.0
14478,277318.1818181818,277500.0,182.0
